0,1.5
0.0099767,1.49301
0.0199069,1.48605
0.0297908,1.47912
0.0396285,1.47221
0.0494203,1.46532
0.0591662,1.45846
0.0688665,1.45163
0.0785214,1.44482
0.0881309,1.43804
0.0976953,1.43129
0.107215,1.42455
0.116689,1.41785
0.126119,1.41116
0.135505,1.40451
0.144846,1.39787
0.154143,1.39127
0.163397,1.38468
0.172606,1.37813
0.181772,1.37159
0.190894,1.36508
0.199973,1.3586
0.209008,1.35213
0.218001,1.3457
0.226951,1.33928
0.235858,1.33289
0.244723,1.32653
0.253546,1.32019
0.262326,1.31387
0.271064,1.30758
0.27976,1.3013
0.288415,1.29506
0.297028,1.28883
0.305599,1.28263
0.314129,1.27645
0.322619,1.2703
0.331067,1.26417
0.339474,1.25806
0.347841,1.25197
0.356167,1.24591
0.364453,1.23987
0.372699,1.23385
0.380905,1.22786
0.38907,1.22188
0.397196,1.21593
0.405283,1.21001
0.41333,1.2041
0.421337,1.19822
0.429306,1.19235
0.437236,1.18651
0.445126,1.1807
0.452978,1.1749
0.460792,1.16913
0.468567,1.16338
0.476303,1.15764
0.484002,1.15194
0.491663,1.14625
0.499285,1.14058
0.50687,1.13494
0.514418,1.12931
0.521928,1.12371
0.529401,1.11813
0.536836,1.11257
0.544235,1.10703
0.551597,1.10151
0.558922,1.09601
0.56621,1.09054
0.573462,1.08508
0.580678,1.07964
0.587858,1.07423
0.595001,1.06883
0.602109,1.06346
0.609181,1.05811
0.616217,1.05277
0.623218,1.04746
0.630183,1.04216
0.637113,1.03689
0.644008,1.03164
0.650869,1.0264
0.657694,1.02119
0.664484,1.016
0.671241,1.01082
0.677962,1.00567
0.684649,1.00053
0.691303,0.995415
0.697922,0.990319
0.704507,0.985242
0.711058,0.980184
0.717576,0.975145
0.72406,0.970126
0.730511,0.965125
0.736929,0.960144
0.743313,0.955181
0.749664,0.950238
0.755983,0.945313
0.762269,0.940407
0.768522,0.935519
0.774742,0.93065
0.78093,0.9258
0.787086,0.920968
0.79321,0.916155
0.799302,0.91136
0.805362,0.906583
0.81139,0.901825
0.817386,0.897084
0.823351,0.892362
0.829284,0.887658
0.835186,0.882971
0.841057,0.878303
0.846897,0.873653
0.852706,0.86902
0.858484,0.864405
0.864231,0.859807
0.869948,0.855228
0.875634,0.850665
0.88129,0.84612
0.886916,0.841593
0.892512,0.837083
0.898077,0.83259
0.903613,0.828115
0.909119,0.823656
0.914595,0.819215
0.920042,0.814791
0.925459,0.810384
0.930847,0.805993
0.936205,0.80162
0.941535,0.797263
0.946836,0.792923
0.952107,0.7886
0.95735,0.784294
0.962565,0.780004
0.96775,0.77573
0.972908,0.771473
0.978037,0.767232
0.983138,0.763008
0.98821,0.7588
0.993255,0.754608
0.998272,0.750433
1.00326,0.746273
1.00822,0.74213
1.01316,0.738002
1.01806,0.733891
1.02294,0.729795
1.02779,0.725716
1.03262,0.721652
1.03741,0.717603
1.04219,0.713571
1.04693,0.709554
1.05165,0.705552
1.05634,0.701566
1.061,0.697596
1.06564,0.693641
1.07025,0.689701
1.07483,0.685777
1.07939,0.681867
1.08393,0.677973
1.08843,0.674094
1.09291,0.67023
1.09737,0.666382
1.1018,0.662548
1.1062,0.658729
1.11058,0.654925
1.11494,0.651135
1.11926,0.647361
1.12357,0.643601
1.12784,0.639856
1.1321,0.636125
1.13633,0.632409
1.14053,0.628708
1.14471,0.62502
1.14886,0.621348
1.15299,0.617689
1.1571,0.614045
1.16118,0.610415
1.16524,0.6068
1.16927,0.603198
1.17328,0.599611
1.17727,0.596038
1.18123,0.592478
1.18517,0.588933
1.18908,0.585401
1.19297,0.581884
1.19684,0.57838
1.20068,0.57489
1.2045,0.571413
1.2083,0.56795
1.21208,0.564501
1.21583,0.561066
1.21956,0.557643
1.22326,0.554235
1.22695,0.55084
1.23061,0.547458
1.23425,0.544089
1.23786,0.540734
1.24146,0.537392
1.24503,0.534063
1.24858,0.530747
1.25211,0.527444
1.25561,0.524155
1.25909,0.520878
1.26256,0.517614
1.266,0.514364
1.26941,0.511126
1.27281,0.507901
1.27619,0.504688
1.27954,0.501489
1.28287,0.498302
1.28618,0.495127
1.28947,0.491965
1.29274,0.488816
1.29599,0.48568
1.29922,0.482555
1.30243,0.479443
1.30561,0.476344
1.30878,0.473257
1.31192,0.470182
1.31505,0.467119
1.31815,0.464069
1.32123,0.46103
1.3243,0.458004
1.32734,0.45499
1.33036,0.451988
1.33337,0.448997
1.33635,0.446019
1.33931,0.443053
1.34226,0.440098
1.34518,0.437155
1.34809,0.434224
1.35097,0.431305
1.35384,0.428398
1.35668,0.425502
1.35951,0.422617
1.36232,0.419745
1.36511,0.416883
1.36788,0.414034
1.37063,0.411195
1.37336,0.408368
1.37607,0.405553
1.37877,0.402748
1.38144,0.399955
1.3841,0.397173
1.38674,0.394403
1.38936,0.391643
1.39196,0.388895
1.39454,0.386158
1.39711,0.383431
1.39966,0.380716
1.40219,0.378012
1.4047,0.375318
1.40719,0.372636
1.40967,0.369964
1.41212,0.367303
1.41456,0.364653
1.41699,0.362014
1.41939,0.359385
1.42178,0.356767
1.42415,0.35416
1.4265,0.351563
1.42883,0.348976
1.43115,0.3464
1.43345,0.343835
1.43574,0.34128
1.438,0.338735
1.44025,0.336201
1.44249,0.333677
1.4447,0.331163
1.4469,0.32866
1.44908,0.326167
1.45125,0.323684
1.4534,0.321211
1.45553,0.318748
1.45765,0.316295
1.45975,0.313852
1.46183,0.311419
1.4639,0.308996
1.46595,0.306584
1.46799,0.30418
1.47001,0.301787
1.47201,0.299404
1.474,0.29703
1.47597,0.294666
1.47793,0.292312
1.47987,0.289967
1.4818,0.287632
1.48371,0.285307
1.4856,0.282991
1.48748,0.280685
1.48934,0.278388
1.49119,0.276101
1.49303,0.273823
1.49484,0.271554
1.49665,0.269295
1.49843,0.267045
1.50021,0.264805
1.50197,0.262574
1.50371,0.260352
1.50544,0.258139
1.50715,0.255935
1.50885,0.25374
1.51053,0.251555
1.5122,0.249379
1.51386,0.247211
1.5155,0.245053
1.51713,0.242903
1.51874,0.240763
1.52034,0.238631
1.52192,0.236508
1.52349,0.234395
1.52504,0.232289
1.52659,0.230193
1.52811,0.228106
1.52963,0.226027
1.53113,0.223956
1.53261,0.221895
1.53409,0.219842
1.53555,0.217798
1.53699,0.215762
1.53842,0.213734
1.53984,0.211716
1.54125,0.209705
1.54264,0.207703
1.54401,0.20571
1.54538,0.203725
1.54673,0.201748
1.54807,0.199779
1.54939,0.197819
1.55071,0.195867
1.55201,0.193924
1.55329,0.191988
1.55457,0.190061
1.55583,0.188141
1.55707,0.18623
1.55831,0.184327
1.55953,0.182432
1.56074,0.180545
1.56194,0.178666
1.56312,0.176795
1.5643,0.174932
1.56546,0.173076
1.5666,0.171229
1.56774,0.169389
1.56886,0.167558
1.56997,0.165734
1.57107,0.163918
1.57216,0.162109
1.57323,0.160308
1.5743,0.158515
1.57535,0.15673
1.57639,0.154952
1.57741,0.153182
1.57843,0.151419
1.57943,0.149664
1.58042,0.147916
1.58141,0.146176
1.58237,0.144443
1.58333,0.142718
1.58428,0.141
1.58521,0.13929
1.58613,0.137587
1.58705,0.135891
1.58795,0.134202
1.58883,0.132521
1.58971,0.130847
1.59058,0.12918
1.59144,0.12752
1.59228,0.125868
1.59311,0.124223
1.59394,0.122584
1.59475,0.120953
1.59555,0.119329
1.59634,0.117712
1.59712,0.116102
1.59789,0.114499
1.59865,0.112903
1.59939,0.111314
1.60013,0.109731
1.60086,0.108156
1.60157,0.106587
1.60228,0.105026
1.60297,0.103471
1.60366,0.101923
1.60433,0.100381
1.60499,0.0988466
1.60565,0.0973187
1.60629,0.0957975
1.60693,0.0942829
1.60755,0.0927749
1.60816,0.0912736
1.60877,0.0897788
1.60936,0.0882906
1.60994,0.0868089
1.61052,0.0853338
1.61108,0.0838651
1.61164,0.0824029
1.61218,0.0809472
1.61272,0.0794978
1.61324,0.0780549
1.61376,0.0766183
1.61426,0.0751881
1.61476,0.0737642
1.61525,0.0723466
1.61572,0.0709353
1.61619,0.0695303
1.61665,0.0681314
1.6171,0.0667388
1.61754,0.0653524
1.61797,0.0639721
1.61839,0.062598
1.61881,0.06123
1.61921,0.0598681
1.6196,0.0585123
1.61999,0.0571625
1.62037,0.0558188
1.62073,0.0544811
1.62109,0.0531493
1.62144,0.0518235
1.62178,0.0505037
1.62212,0.0491898
1.62244,0.0478818
1.62275,0.0465796
1.62306,0.0452833
1.62336,0.0439929
1.62365,0.0427083
1.62393,0.0414294
1.6242,0.0401563
1.62446,0.038889
1.62472,0.0376274
1.62496,0.0363715
1.6252,0.0351213
1.62543,0.0338768
1.62565,0.0326379
1.62587,0.0314046
1.62607,0.030177
1.62627,0.0289549
1.62646,0.0277383
1.62664,0.0265274
1.62681,0.0253219
1.62698,0.0241219
1.62713,0.0229274
1.62728,0.0217384
1.62742,0.0205548
1.62756,0.0193767
1.62768,0.0182039
1.6278,0.0170365
1.62791,0.0158745
1.62801,0.0147178
1.62811,0.0135664
1.62819,0.0124204
1.62827,0.0112796
1.62834,0.010144
1.62841,0.00901376
1.62846,0.0078887
1.62851,0.00676884
1.62855,0.00565417
1.62859,0.00454466
1.62861,0.0034403
1.62863,0.00234106
1.62865,0.00124693
1.62865,0.000157887
1.62865,-0.000926085
1.62864,-0.00200501
1.62862,-0.0030789
1.6286,-0.00414777
1.62857,-0.00521165
1.62853,-0.00627056
1.62848,-0.0073245
1.62843,-0.00837351
1.62837,-0.0094176
1.6283,-0.0104568
1.62823,-0.0114911
1.62815,-0.0125205
1.62806,-0.0135451
1.62797,-0.0145648
1.62787,-0.0155798
1.62776,-0.0165899
1.62765,-0.0175953
1.62753,-0.0185959
1.6274,-0.0195918
1.62727,-0.0205829
1.62713,-0.0215694
1.62698,-0.0225511
1.62683,-0.0235282
1.62667,-0.0245006
1.6265,-0.0254684
1.62633,-0.0264316
1.62615,-0.0273902
1.62596,-0.0283442
1.62577,-0.0292936
1.62557,-0.0302385
1.62537,-0.0311788
1.62515,-0.0321146
1.62494,-0.0330459
