t,x,y
0,0,1.5
0.05,0.0736996086042,1.44822494632
0.1,0.14484624403,1.39787488795
0.15,0.2135102361,1.34891318227
0.2,0.279760105582,1.30130410594
0.25,0.343662609581,1.25501283196
0.3,0.405282785796,1.21000540748
0.35,0.464683995684,1.16624873202
0.4,0.521927966543,1.12371053631
0.45,0.577074832559,1.08235936163
0.5,0.630183174823,1.04216453964
0.55,0.681310060358,1.00309617277
0.6,0.730511080177,0.965125114987
0.65,0.777840386392,0.928222953185
0.7,0.8233507284,0.892361988898
0.75,0.86709348817,0.857515220552
0.8,0.909118714653,0.823656326123
0.85,0.949475157333,0.790759646228
0.9,0.988210298947,0.758800167643
0.95,1.02537038739,0.727753507219
1,1.06100046683,0.697595896204
1.05,1.09514440802,0.668304164947
1.1,1.12784493791,0.639855727989
1.15,1.15914366848,0.612228569514
1.2,1.18908112486,0.585401229169
1.25,1.21769677276,0.559352788226
1.3,1.24502904521,0.534062856099
1.35,1.27111536865,0.509511557182
1.4,1.29599218832,0.485679518023
1.45,1.31969499312,0.46254785481
1.5,1.3422583397,0.440098161171
1.55,1.36371587613,0.418312496273
1.6,1.38410036478,0.397173373219
1.65,1.40344370483,0.37666374773
1.7,1.42177695407,0.356767007109
1.75,1.4391303502,0.337466959478
1.8,1.45553333165,0.31874782328
1.85,1.47101455781,0.30059421705
1.9,1.48560192879,0.282991149424
1.95,1.49932260468,0.26592400941
2,1.51220302432,0.249378556893
2.05,1.52426892365,0.233340913379
2.1,1.53554535352,0.217797552963
2.15,1.54605669711,0.202735293529
2.2,1.55582668693,0.188141288162
2.25,1.56487842132,0.174003016774
2.3,1.57323438064,0.160308277941
2.35,1.58091644297,0.147045180937
2.4,1.58794589947,0.134202137974
2.45,1.5943434693,0.121767856624
2.5,1.60012931426,0.109731332438
2.55,1.60532305295,0.0980818417413
2.6,1.60994377468,0.0868089346148
2.65,1.61401005295,0.075902428044
2.7,1.61753995864,0.0653523992407
2.75,1.62055107288,0.0551491791314
2.8,1.62306049954,0.0452833460052
2.85,1.62508487746,0.0357457193213
2.9,1.62664039236,0.0265273536691
2.95,1.62774278845,0.0176195328785
3,1.62840737973,0.00901376427705
3.05,1.62864906105,0.000701773088582
3.1,1.62848231884,-0.00732450302782
3.15,1.62792124163,-0.015072919304
3.2,1.62697953024,-0.0225511290564
3.25,1.62567050778,-0.0297665887505
3.3,1.62400712935,-0.0367265629398
3.35,1.62200199152,-0.0434381290816
3.4,1.61966734156,-0.0499081822338
3.45,1.61701508647,-0.0561434396338
3.5,1.6140568017,-0.0621504451653
3.55,1.61080373981,-0.0679355737123
3.6,1.60726683869,-0.073505035406
3.65,1.6034567298,-0.0788648797658
3.7,1.59938374604,-0.084020999737
3.75,1.59505792948,-0.0889791356287
3.8,1.59048903894,-0.0937448789533
3.85,1.58568655728,-0.0983236761707
3.9,1.58065969859,-0.102720832339
3.95,1.5754174152,-0.106941514675
4,1.5699684044,-0.110990756026
4.05,1.56432111518,-0.114873458253
4.1,1.55848375459,-0.118594395536
4.15,1.55246429414,-0.122158217589
4.2,1.54627047588,-0.125569452797
4.25,1.53990981841,-0.128832511282
4.3,1.53338962272,-0.131951687884
4.35,1.52671697788,-0.134931165071
4.4,1.5198987666,-0.137775015776
4.45,1.51294167059,-0.140487206165
4.5,1.50585217589,-0.143071598336
4.55,1.49863657799,-0.145531952945
4.6,1.49130098681,-0.147871931778
4.65,1.4838513316,-0.150095100243
4.7,1.47629336571,-0.15220492982
4.75,1.46863267122,-0.154204800428
4.8,1.46087466343,-0.156098002752
4.85,1.45302459531,-0.157887740498
4.9,1.44508756176,-0.159577132603
4.95,1.43706850382,-0.161169215379
5,1.42897221274,-0.162666944612
